ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
org.eclipse.jetty:jetty-project,12.0.1,eclipse/jetty.project,jetty-12.0.1,jetty/jetty.project,jetty-12.0.1,476874584943daf3041eb0ca584d4de3a87f19fd,False,True,False,,
org.eclipse.jetty:jetty-project,12.0.3,eclipse/jetty.project,jetty-12.0.3,jetty/jetty.project,jetty-12.0.3,a873259fd5af141dedaa6c7fa8fe8fbdedce0d61,False,True,False,,
org.eclipse.jetty:jetty-project,12.0.4,eclipse/jetty.project,jetty-12.0.4,jetty/jetty.project,jetty-12.0.4,9b415c6424a9e0614a349ae2d305800b33c5205a,False,True,False,,
org.eclipse.jetty:jetty-project,12.0.2,eclipse/jetty.project,jetty-12.0.2,jetty/jetty.project,jetty-12.0.2,b01e3611cfcec50c9157c50f6d32a93515e01510,False,True,False,,
org.eclipse.jkube:jkube,1.6.0,eclipse/jkube,v1.6.0,eclipse-jkube/jkube,v1.6.0,07739216c37d7ae9e3e7b777c16726da87e2519d,True,True,False,,
org.eclipse.jkube:jkube,1.10.0,eclipse/jkube,v1.10.0,eclipse-jkube/jkube,v1.10.0,002983b0263e684e5b2e25cd3aeb30080af6689f,True,True,False,,
org.eclipse.jkube:jkube,1.9.1,eclipse/jkube,v1.9.1,eclipse-jkube/jkube,v1.9.1,1f5edd3913289b62d54bd7f9936682c67bd6ca9f,True,True,False,,
org.eclipse.jkube:jkube,1.13.1,eclipse/jkube,v1.13.1,eclipse-jkube/jkube,v1.13.1,91c3d1cf557d51128ce329c7dbf3fab9e725c74d,True,True,False,,
org.eclipse.jkube:jkube,1.15.0,eclipse/jkube,v1.15.0,eclipse-jkube/jkube,v1.15.0,c99f41c2ebb2b2cccda25cb2500632e136b7d5e7,True,True,False,,
org.eclipse.jkube:jkube,1.3.0,eclipse/jkube,v1.3.0,eclipse-jkube/jkube,v1.3.0,773a224e8c415f08beb27c504046369c447d3f36,True,True,False,,
org.eclipse.jkube:jkube,1.5.1,eclipse/jkube,v1.5.1,eclipse-jkube/jkube,v1.5.1,3455471f7492508ce6ec220642b31d8339e3b8fd,True,True,False,,
org.eclipse.jkube:jkube,1.9.0,eclipse/jkube,v1.9.0,eclipse-jkube/jkube,v1.9.0,97cbbc4b85d5041500f8b5c512d851ad00903a58,True,True,False,,
org.eclipse.jkube:jkube,1.10.1,eclipse/jkube,v1.10.1,eclipse-jkube/jkube,v1.10.1,812dea67ee615c407c033126455f9e37b62512c3,True,True,False,,
org.eclipse.jkube:jkube,1.13.0,eclipse/jkube,v1.13.0,eclipse-jkube/jkube,v1.13.0,d189717f8d6242936e4dbe910423d0e9837ef8f7,True,True,False,,
org.eclipse.jkube:jkube,1.5.0,eclipse/jkube,v1.5.0,eclipse-jkube/jkube,v1.5.0,92c186a09cc91ab68d605d5ce7c2ac70401a22aa,True,True,False,,
org.eclipse.jkube:jkube,1.2.0,eclipse/jkube,v1.2.0,eclipse-jkube/jkube,v1.2.0,9b3188d6c273d93b2b5ab53a419329927d0c6ae6,True,True,False,,
