ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
org.owasp.antisamy:antisamy,1.6.7,nahsra/antisamy,a0ec25d2ec70b794e6a78f6251c21735696ea832,nahsra/antisamy,v1.6.7,a42865ce3956c0e1c8c1993533209d825ff9a19b,True,True,False,,CAT1_FAIL
org.alluxio:alluxio-parent,300,alluxio/alluxio,31d367f,Alluxio/alluxio,v300,29d4a1c55a76dfead6e295cdf5a78c1b47779c02,True,True,False,,CAT1_FAIL
org.alluxio:alluxio-parent,301,alluxio/alluxio,e816b77,Alluxio/alluxio,v301,3d5db553eff2870e336bd4bce294d6329e41a6cf,True,True,False,,CAT1_FAIL
org.alluxio:alluxio-parent,302,alluxio/alluxio,f6bccfc,Alluxio/alluxio,v302,62a912de75251119a6536a7928d5875f6a24d142,True,True,False,,CAT1_FAIL
org.alluxio:alluxio-parent,295,alluxio/alluxio,20d51a5,Alluxio/alluxio,v295,988ef6dde5e4050f02ca1bcd2f47edc47268665f,True,True,False,,CAT1_FAIL
org.alluxio:alluxio-parent,303,alluxio/alluxio,24f194d,Alluxio/alluxio,v303,be016ce34034347726134c89f75e9b4578972c40,True,True,False,,CAT1_FAIL
org.codehaus.plexus:plexus-interactivity,1.1,codehaus-plexus/plexus-interactivity,plexus-interactivity-1.1,codehaus-plexus/plexus-components,plexus-spring-1.1,14710c6095843b2d048899718fe1dbe253b002e2,False,True,False,,CAT2_FAIL
org.apache.jspwiki:jspwiki-builder,2.12.0,apache/jspwiki,2.12.0,apache/jspwiki,2.12.0-RC2,b1e0ee3daa925f70cfd6007a183a3baabd247b7a,True,True,False,,CAT3_FAIL
org.apache.jspwiki:jspwiki-builder,2.11.1,apache/jspwiki,2.11.1,apache/jspwiki,2.11.1-RC1,c7da7e5e45855f4aec2d4c1c5cd67ab050043eca,True,True,False,,CAT3_FAIL
org.apache.jspwiki:jspwiki-builder,2.11.0.M8,apache/jspwiki,2.11.0.M8,apache/jspwiki,2.11.0.M8-RC1,c2aa07f5711be8b961a9a28fd8511ced22c62de6,True,True,False,,CAT3_FAIL
org.apache.jspwiki:jspwiki-builder,2.11.0,apache/jspwiki,2.11.0,apache/jspwiki,2.11.0-RC2,b9c3d919beee3a73ffd87cde5021327d3a6544a5,True,True,False,,CAT3_FAIL
org.apache.jspwiki:jspwiki-builder,2.11.3,apache/jspwiki,2.11.3,apache/jspwiki,2.11.3-RC1,515dff39c66c43318056fa76a20117662d2a0e8d,True,True,False,,CAT3_FAIL
org.apache.jspwiki:jspwiki-builder,2.11.0.M7,apache/jspwiki,2.11.0.M7,apache/jspwiki,2.11.0.M7-RC1,e26c499896e8936febd14fee89a528c61d05aaa6,True,True,False,,CAT3_FAIL
org.apache.jspwiki:jspwiki-builder,2.11.2,apache/jspwiki,2.11.2,apache/jspwiki,2.11.2-RC1,c85363be9980acc7625dac1fd05e907ebc3e34c2,True,True,False,,CAT3_FAIL
org.apache.logging.log4j:log4j,3.0.0-alpha1,apache/logging-log4j2,rel/3.0.0-alpha1,apache/logging-log4j2,log4j-3.0.0-alpha1-rc2,e84827220de69f39112d5f518279038c152b186f,True,True,False,,CAT3_FAIL
io.micronaut.build:micronaut-maven-plugin,1.1.1,micronaut-projects/micronaut-maven-plugin,8a387d356814f48bd8f201a184da37de075ef594,micronaut-projects/micronaut-maven-plugin,v1.1.1,b726f0e4da585ac5e2c1a98b8d1e9a9eb19a8774,True,True,False,,CAT1_FAIL
world.convex:convex,0.7.4,Convex-Dev/convex,fb2762ec811843dc60c3d0662d1c202d3dfeeff0,Convex-Dev/convex,0.7.4,9601bb7069b309a55536b7ac56e44b9cd34cefc1,True,True,False,,CAT1_FAIL
world.convex:convex,0.7.5,Convex-Dev/convex,cf5aeedc5d030a02dff9fa19d29efdc47b06ad3c,Convex-Dev/convex,0.7.5,ee7a3eb79cf146abe0cff44181d1e971a5cbe278,True,True,False,,CAT1_FAIL
com.io7m.jxe:com.io7m.jxe,1.0.0,io7m/jxe,c901ae4cc736680969048a7938c87e162a64205f,io7m-com/jxe,com.io7m.jxe-1.0.0,032e42cd8eaf472c6895aaaa4ce5578f2037cd4b,True,True,False,,CAT1_FAIL
com.io7m.blackthorne:com.io7m.blackthorne,1.1.0,io7m/blackthorne,d6bc0f0706451a4594295e06fa59f7ad2c842811,io7m-com/blackthorne,com.io7m.blackthorne-1.1.0,39de745ed09f3585e45cd6d91a8dde7a0569cd73,True,True,False,,CAT1_FAIL
com.io7m.blackthorne:com.io7m.blackthorne,1.2.1,io7m/blackthorne,1c291b65740b75aa9309dfb81e1c374e2405b862,io7m-com/blackthorne,com.io7m.blackthorne-1.2.1,b8bef77f16b90ee80c4a77e4a22a8cf2d33da069,True,True,False,,CAT1_FAIL
com.io7m.blackthorne:com.io7m.blackthorne,1.2.0,io7m/blackthorne,0fcdfbb1f6bca03ae7f71e41bd80b67efbef68fd,io7m-com/blackthorne,com.io7m.blackthorne-1.2.0,e24d6a9fb9e69685dc0147948c23d8e0acd5592a,True,True,False,,CAT1_FAIL
com.io7m.blackthorne:com.io7m.blackthorne,0.0.3,io7m/blackthorne,c230407d94dd4773ccd1fdd74aec1aba287f920c,io7m-com/blackthorne,com.io7m.blackthorne-0.0.3,ef5e056923c96a9e18e5e8b870046ddd5db9cd8d,True,True,False,,CAT1_FAIL
com.io7m.blackthorne:com.io7m.blackthorne,1.0.0,io7m/blackthorne,511446030052a8be78bf46675d4239c4355a901a,io7m-com/blackthorne,com.io7m.blackthorne-1.0.0,729354518ce73f7b219f352f700b448741c9418d,True,True,False,,CAT1_FAIL
com.io7m.blackthorne:com.io7m.blackthorne,0.0.4,io7m/blackthorne,2cd8f1aa6581697ca4cd69e1bd5064ad9be3053a,io7m-com/blackthorne,com.io7m.blackthorne-0.0.4,bd59cc536cce16b0a14ce156353cde8596a06796,True,True,False,,CAT1_FAIL
