ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
org.codehaus.plexus:plexus-compiler,2.14.1,codehaus-plexus/plexus-compiler,plexus-compiler-2.14.1,codehaus-plexus/plexus-pom,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.8.6,codehaus-plexus/plexus-compiler,plexus-compiler-2.8.6,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.12.0,codehaus-plexus/plexus-compiler,plexus-compiler-2.12.0,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.11.1,codehaus-plexus/plexus-compiler,plexus-compiler-2.11.1,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.8.7,codehaus-plexus/plexus-compiler,plexus-compiler-2.8.7,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.14.0,codehaus-plexus/plexus-compiler,plexus-compiler-2.14.0,codehaus-plexus/plexus-pom,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.12.1,codehaus-plexus/plexus-compiler,plexus-compiler-2.12.1,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.11.0,codehaus-plexus/plexus-compiler,plexus-compiler-2.11.0,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.9.0,codehaus-plexus/plexus-compiler,plexus-compiler-2.9.0,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.13.0,codehaus-plexus/plexus-compiler,plexus-compiler-2.13.0,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.8.8,codehaus-plexus/plexus-compiler,plexus-compiler-2.8.8,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
org.codehaus.plexus:plexus-compiler,2.10.0,codehaus-plexus/plexus-compiler,plexus-compiler-2.10.0,codehaus-plexus/plexus-components,,,,,False,no_github_tag,
