ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,err
tel.schich:javacan,3.2.2,pschichtel/JavaCAN,javacan-3.2.2,pschichtel/JavaCAN,javacan-3.2.2,bfe848372dec0bfab7cc275a26a77566ec80eeb5,True,True,
pl.com.labaj:auto-record,2.0.0,pawellabaj/auto-record,v2.0.0,pawellabaj/auto-record,v2.0.0,22ba56ef647fc12aa4fbacca7698e6ecd8c81256,True,True,
pl.com.labaj:auto-record,2.1.0,pawellabaj/auto-record,v2.1.0,pawellabaj/auto-record,v2.1.0,9e4c36f6c5bbd1a2ec4b9d5b118735ef69485d46,True,True,
pl.com.labaj:auto-record,1.1.0,pawellabaj/auto-record,v1.1.0,pawellabaj/auto-record,v1.1.0,a81cc2d45ad3ab45ac39d95eb03fef3fb431ba9d,True,True,
pl.com.labaj.autorecord:auto-record,3.1.0,pawellabaj/auto-record,v3.1.0,pawellabaj/auto-record,v3.1.0,2891e50a153ed2c121bc3ae5122a2fcfefad3bad,True,True,
pl.com.labaj.autorecord:auto-record,3.1.1,pawellabaj/auto-record,v3.1.1,pawellabaj/auto-record,v3.1.1,50b21b6d412a6d7464c08644fd84a6b52c36f3c8,True,True,
pl.com.labaj.autorecord:auto-record,3.0.0,pawellabaj/auto-record,v3.0.0,pawellabaj/auto-record,v3.0.0,f545348de8e48f1000a156cb42afec19868b9238,True,True,
pl.com.labaj.autorecord:auto-record,3.1.2,pawellabaj/auto-record,v3.1.2,pawellabaj/auto-record,v3.1.2,32dcb8d40202f2568426f1a2f5772223da759196,True,True,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.6,abstracta/jmeter-java-dsl,v1.6,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.11,abstracta/jmeter-java-dsl,v1.11,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.24,abstracta/jmeter-java-dsl,v1.24,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.23.2,abstracta/jmeter-java-dsl,v1.23.2,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.22,abstracta/jmeter-java-dsl,v1.22,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.17,abstracta/jmeter-java-dsl,v1.17,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.8.1,abstracta/jmeter-java-dsl,v1.8.1,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.7,abstracta/jmeter-java-dsl,v1.7,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.10,abstracta/jmeter-java-dsl,v1.10,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.0.2,abstracta/jmeter-java-dsl,v1.0.2,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.23.3,abstracta/jmeter-java-dsl,v1.23.3,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.23,abstracta/jmeter-java-dsl,v1.23,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.1,abstracta/jmeter-java-dsl,v1.1,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.16,abstracta/jmeter-java-dsl,v1.16,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.13,abstracta/jmeter-java-dsl,v1.13,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.4,abstracta/jmeter-java-dsl,v1.4,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.0.1,hboutemy/jmeter-java-dsl,145f9600ae8150ca1bde55815377904a7568f483,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.9,abstracta/jmeter-java-dsl,v1.9,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.15,abstracta/jmeter-java-dsl,v1.15,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.2,abstracta/jmeter-java-dsl,v1.2,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.12.1,abstracta/jmeter-java-dsl,v1.12.1,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.20,abstracta/jmeter-java-dsl,v1.20,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.18,abstracta/jmeter-java-dsl,v1.18,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.12,abstracta/jmeter-java-dsl,v1.12,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.5,abstracta/jmeter-java-dsl,v1.5,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.23.1,abstracta/jmeter-java-dsl,v1.23.1,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.14,abstracta/jmeter-java-dsl,v1.14,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.3,abstracta/jmeter-java-dsl,v1.3,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.21,abstracta/jmeter-java-dsl,v1.21,,,,,,no_github_link
us.abstracta.jmeter:jmeter-java-dsl-parent,1.19,abstracta/jmeter-java-dsl,v1.19,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.3,raphw/byte-buddy,byte-buddy-1.14.3,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.12.22,raphw/byte-buddy,byte-buddy-1.12.22,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.11,raphw/byte-buddy,byte-buddy-1.14.11,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.5,raphw/byte-buddy,byte-buddy-1.14.5,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.8,raphw/byte-buddy,byte-buddy-1.14.8,,,,,,no_github_link
