ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err
tel.schich:javacan,3.2.2,pschichtel/JavaCAN,javacan-3.2.2,,,,,,,
pl.com.labaj:auto-record,2.0.0,pawellabaj/auto-record,v2.0.0,,,,,,,
pl.com.labaj:auto-record,2.1.0,pawellabaj/auto-record,v2.1.0,,,,,,,
pl.com.labaj:auto-record,1.1.0,pawellabaj/auto-record,v1.1.0,,,,,,,
pl.com.labaj.autorecord:auto-record,3.1.0,pawellabaj/auto-record,v3.1.0,,,,,,,
pl.com.labaj.autorecord:auto-record,3.1.1,pawellabaj/auto-record,v3.1.1,,,,,,,
pl.com.labaj.autorecord:auto-record,3.0.0,pawellabaj/auto-record,v3.0.0,,,,,,,
pl.com.labaj.autorecord:auto-record,3.1.2,pawellabaj/auto-record,v3.1.2,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.6,abstracta/jmeter-java-dsl,v1.6,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.11,abstracta/jmeter-java-dsl,v1.11,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.24,abstracta/jmeter-java-dsl,v1.24,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.23.2,abstracta/jmeter-java-dsl,v1.23.2,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.22,abstracta/jmeter-java-dsl,v1.22,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.17,abstracta/jmeter-java-dsl,v1.17,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.8.1,abstracta/jmeter-java-dsl,v1.8.1,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.7,abstracta/jmeter-java-dsl,v1.7,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.10,abstracta/jmeter-java-dsl,v1.10,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.0.2,abstracta/jmeter-java-dsl,v1.0.2,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.23.3,abstracta/jmeter-java-dsl,v1.23.3,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.23,abstracta/jmeter-java-dsl,v1.23,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.1,abstracta/jmeter-java-dsl,v1.1,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.16,abstracta/jmeter-java-dsl,v1.16,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.13,abstracta/jmeter-java-dsl,v1.13,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.4,abstracta/jmeter-java-dsl,v1.4,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.0.1,hboutemy/jmeter-java-dsl,145f9600ae8150ca1bde55815377904a7568f483,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.9,abstracta/jmeter-java-dsl,v1.9,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.15,abstracta/jmeter-java-dsl,v1.15,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.2,abstracta/jmeter-java-dsl,v1.2,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.12.1,abstracta/jmeter-java-dsl,v1.12.1,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.20,abstracta/jmeter-java-dsl,v1.20,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.18,abstracta/jmeter-java-dsl,v1.18,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.12,abstracta/jmeter-java-dsl,v1.12,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.5,abstracta/jmeter-java-dsl,v1.5,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.23.1,abstracta/jmeter-java-dsl,v1.23.1,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.14,abstracta/jmeter-java-dsl,v1.14,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.3,abstracta/jmeter-java-dsl,v1.3,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.21,abstracta/jmeter-java-dsl,v1.21,,,,,,,
us.abstracta.jmeter:jmeter-java-dsl-parent,1.19,abstracta/jmeter-java-dsl,v1.19,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.3,raphw/byte-buddy,byte-buddy-1.14.3,,,,,,,
net.bytebuddy:byte-buddy-parent,1.12.22,raphw/byte-buddy,byte-buddy-1.12.22,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.11,raphw/byte-buddy,byte-buddy-1.14.11,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.5,raphw/byte-buddy,byte-buddy-1.14.5,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.8,raphw/byte-buddy,byte-buddy-1.14.8,,,,,,,
net.bytebuddy:byte-buddy-parent,1.13.0,raphw/byte-buddy,byte-buddy-1.13.0,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.2,raphw/byte-buddy,byte-buddy-1.14.2,,,,,,,
net.bytebuddy:byte-buddy-parent,1.12.23,raphw/byte-buddy,byte-buddy-1.12.23,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.10,raphw/byte-buddy,byte-buddy-1.14.10,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.4,raphw/byte-buddy,byte-buddy-1.14.4,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.9,raphw/byte-buddy,byte-buddy-1.14.9,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.1,raphw/byte-buddy,byte-buddy-1.14.1,,,,,,,
net.bytebuddy:byte-buddy-parent,1.12.20,raphw/byte-buddy,byte-buddy-1.12.20,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.7,raphw/byte-buddy,byte-buddy-1.14.7,,,,,,,
net.bytebuddy:byte-buddy-parent,1.12.13,raphw/byte-buddy,byte-buddy-1.12.13,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.0,raphw/byte-buddy,byte-buddy-1.14.0,,,,,,,
net.bytebuddy:byte-buddy-parent,1.12.21,raphw/byte-buddy,byte-buddy-1.12.21,,,,,,,
net.bytebuddy:byte-buddy-parent,1.14.6,raphw/byte-buddy,byte-buddy-1.14.6,,,,,,,
net.revelc.code:impsort-maven-plugin,1.8.0,revelc/impsort-maven-plugin,impsort-maven-plugin-1.8.0,,,,,,,
net.revelc.code:impsort-maven-plugin,1.7.0,revelc/impsort-maven-plugin,impsort-maven-plugin-1.7.0,,,,,,,
net.revelc.code:impsort-maven-plugin,1.9.0,revelc/impsort-maven-plugin,impsort-maven-plugin-1.9.0,,,,,,,
net.sourceforge.pmd:pmd,6.24.0,pmd/pmd,pmd_releases/6.24.0,,,,,,,
net.sourceforge.pmd:pmd,6.54.0,pmd/pmd,pmd_releases/6.54.0,,,,,,,
net.sourceforge.pmd:pmd,6.48.0,pmd/pmd,pmd_releases/6.48.0,,,,,,,
net.sourceforge.pmd:pmd,6.38.0,pmd/pmd,pmd_releases/6.38.0,,,,,,,
net.sourceforge.pmd:pmd,6.31.0,pmd/pmd,pmd_releases/6.31.0,,,,,,,
net.sourceforge.pmd:pmd,6.41.0,pmd/pmd,pmd_releases/6.41.0,,,,,,,
net.sourceforge.pmd:pmd,6.28.0,pmd/pmd,pmd_releases/6.28.0,,,,,,,
net.sourceforge.pmd:pmd,6.44.0,pmd/pmd,pmd_releases/6.44.0,,,,,,,
net.sourceforge.pmd:pmd,6.34.0,pmd/pmd,pmd_releases/6.34.0,,,,,,,
net.sourceforge.pmd:pmd,6.51.0,pmd/pmd,pmd_releases/6.51.0,,,,,,,
net.sourceforge.pmd:pmd-build-tools-config,22,pmd/build-tools,22,,,,,,,
net.sourceforge.pmd:pmd-build-tools-config,21,pmd/build-tools,21,,,,,,,
net.sourceforge.pmd:pmd-build-tools-config,19,pmd/build-tools,19,,,,,,,
net.sourceforge.pmd:pmd-build-tools-config,20,pmd/build-tools,20,,,,,,,
net.sourceforge.pmd:pmd-build-tools-config,18,pmd/build-tools,18,,,,,,,
net.sourceforge.pmd:pmd,6.52.0,pmd/pmd,pmd_releases/6.52.0,,,,,,,
net.sourceforge.pmd:pmd,6.47.0,pmd/pmd,pmd_releases/6.47.0,,,,,,,
net.sourceforge.pmd:pmd,6.37.0,pmd/pmd,pmd_releases/6.37.0,,,,,,,
net.sourceforge.pmd:pmd,6.32.0,pmd/pmd,pmd_releases/6.32.0,,,,,,,
net.sourceforge.pmd:pmd,6.42.0,pmd/pmd,pmd_releases/6.42.0,,,,,,,
net.sourceforge.pmd:pmd,6.27.0,pmd/pmd,pmd_releases/6.27.0,,,,,,,
net.sourceforge.pmd:pmd,6.50.0,pmd/pmd,pmd_releases/6.50.0,,,,,,,
net.sourceforge.pmd:pmd,6.35.0,pmd/pmd,pmd_releases/6.35.0,,,,,,,
net.sourceforge.pmd:pmd,6.45.0,pmd/pmd,pmd_releases/6.45.0,,,,,,,
net.sourceforge.pmd:pmd,6.29.0,pmd/pmd,pmd_releases/6.29.0,,,,,,,
net.sourceforge.pmd:pmd,6.40.0,pmd/pmd,pmd_releases/6.40.0,,,,,,,
net.sourceforge.pmd:pmd,6.30.0,pmd/pmd,pmd_releases/6.30.0,,,,,,,
net.sourceforge.pmd:pmd,7.0.0-rc3,pmd/pmd,pmd_releases/7.0.0-rc3,,,,,,,
net.sourceforge.pmd:pmd,6.39.0,pmd/pmd,pmd_releases/6.39.0,,,,,,,
net.sourceforge.pmd:pmd,6.49.0,pmd/pmd,pmd_releases/6.49.0,,,,,,,
net.sourceforge.pmd:pmd,6.55.0,pmd/pmd,pmd_releases/6.55.0,,,,,,,
net.sourceforge.pmd:pmd,6.25.0,pmd/pmd,pmd_releases/6.25.0,,,,,,,
net.sourceforge.pmd:pmd,6.26.0,pmd/pmd,pmd_releases/6.26.0,,,,,,,
net.sourceforge.pmd:pmd,7.0.0-rc4,pmd/pmd,pmd_releases/7.0.0-rc4,,,,,,,
net.sourceforge.pmd:pmd,6.43.0,pmd/pmd,pmd_releases/6.43.0,,,,,,,
net.sourceforge.pmd:pmd,6.33.0,pmd/pmd,pmd_releases/6.33.0,,,,,,,
net.sourceforge.pmd:pmd,6.36.0,pmd/pmd,pmd_releases/6.36.0,,,,,,,
net.sourceforge.pmd:pmd,6.46.0,pmd/pmd,pmd_releases/6.46.0,,,,,,,
net.sourceforge.pmd:pmd,7.0.0-rc2,pmd/pmd,pmd_releases/7.0.0-rc2,,,,,,,
net.sourceforge.pmd:pmd,6.53.0,pmd/pmd,pmd_releases/6.53.0,,,,,,,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,4.0.1,michael-o/tomcatspnegoad,4.0.1,,,,,,,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,4.0.0,michael-o/tomcatspnegoad,4.0.0,,,,,,,
net.sf.michael-o.tomcat:tomcat-authnz-spnego-ad,3.9.0,michael-o/tomcatspnegoad,3.9.0,,,,,,,
net.sf.michael-o:michael-o-parent,17,michael-o/michael-o-parent,17,,,,,,,
net.sf.michael-o:michael-o-parent,16,michael-o/michael-o-parent,16,,,,,,,
net.nicoulaj.maven.plugins:checksum-maven-plugin,1.11,nicoulaj/checksum-maven-plugin,1.11,,,,,,,
net.jsign:jsign,6.0,ebourg/jsign,6.0,,,,,,,
net.jsign:jsign,5.0,ebourg/jsign,5.0,,,,,,,
net.jsign:jsign,4.2,ebourg/jsign,4.2,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.1.0,bndtools/bnd,6.1.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.4.0,bndtools/bnd,6.4.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,5.2.0,bndtools/bnd,5.2.0.REL,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,7.0.0,bndtools/bnd,7.0.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.2.0,bndtools/bnd,6.2.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.3.1,bndtools/bnd,6.3.1,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.0.0,bndtools/bnd,6.0.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,6.3.0,bndtools/bnd,6.3.0,,,,,,,
biz.aQute.bnd:bnd-plugin-parent,5.3.0,bndtools/bnd,5.3.0.REL,,,,,,,
commons-logging:commons-logging,1.3.0,apache/commons-logging,rel/commons-logging-1.3.0,,,,,,,
