ga,version,repository,tag_name,tag_commit,err
au.com.acegi:xml-format-maven-plugin,3.2.2,,,,NO_GITHUB
au.com.acegi:xml-format-maven-plugin,3.3.1,,,,NO_GITHUB
ch.qos.logback:logback-classic,1.2.11,qos-ch/logback,v_1.2.11,4eb2914cb65214d13e14a9ed3dfb9f044df98358,
ch.qos.logback:logback-classic,1.2.13,qos-ch/logback,v_1.2.13,2648b9e7fbb47426c89b9c93b411c07484e8f277,
ch.qos.logback:logback-classic,1.4.11,qos-ch/logback,v_1.4.11,4b159c48c6f30a4b0b7fda9b44d068a4f03b98db,
ch.qos.logback:logback-classic,1.4.12,qos-ch/logback,v_1.4.12,88abf59a18720854f4f55feb8d8f6951cfaf6037,
ch.qos.logback:logback-classic,1.4.14,qos-ch/logback,v_1.4.14,407f935603f3f4d7825e4f57f85ed494da3b7197,
ch.qos.logback:logback-classic,1.5.0,qos-ch/logback,v_1.5.0,6beda7b9d4bf2cbab4129da11efa6a635304a478,
ch.qos.logback:logback-classic,1.5.2,qos-ch/logback,,,NO_TAG
ch.qos.logback:logback-classic,1.5.3,qos-ch/logback,v_1.5.3,f2d8a1a30adddd5b53a906fa5fa2dd8e7fd70911,
ch.qos.logback:logback-classic,1.5.5,qos-ch/logback,v_1.5.5,c7c5e89a857bba3fc09f1912cc912b25ee124505,
ch.qos.logback:logback-classic,1.5.6,qos-ch/logback,v_1.5.6,7812a55f3280fbb74076b2512a06dd34230a83f1,
ch.qos.logback:logback-core,1.2.11,qos-ch/logback,v_1.2.11,4eb2914cb65214d13e14a9ed3dfb9f044df98358,
ch.qos.logback:logback-core,1.2.13,qos-ch/logback,v_1.2.13,2648b9e7fbb47426c89b9c93b411c07484e8f277,
cn.hutool:hutool-all,5.8.24,dromara/hutool,5.8.24,6f9279a3132155896994dab078ba90d822334ca4,
cn.hutool:hutool-all,5.8.25,dromara/hutool,5.8.25,3a1c7538f30855b867e23f70179e5a29692543f5,
com.alibaba:druid,1.2.16,alibaba/druid,1.2.16,b9c97ee18243088be3cf9cd748bef842d59d9c85,
com.alibaba:druid,1.2.20,alibaba/druid,1.2.20,720fa90033c96d589f119576e218b17071b79170,
com.alibaba:fastjson,2.0.31,alibaba/fastjson2,2.0.31,6e9dd86b2d500dbb859869988dba6fc4426d7078,
com.alibaba:fastjson,2.0.35,alibaba/fastjson2,2.0.35,a7a4078cca1e7da893e53519bc392ae6ab7dc45a,
com.alibaba:fastjson,2.0.38,alibaba/fastjson2,2.0.38,bfe3499fa80206c1323f106fab052f478729e42a,
