repository,number,eligible,ga,v_old,v_new,update_type,statically_compatible,dynamically_compatible,err
devlive-community/datacap,634,1,Impala:ImpalaJDBC42,2.6.29.1035,2.6.32.1041,patch,0,,no_jar
SpringBootCourses/tasklist,30,1,au.com.acegi:xml-format-maven-plugin,3.2.2,3.3.1,minor,1,,
awslabs/eventbridge-kafka-connector,261,1,ch.qos.logback:logback-classic,1.5.2,1.5.3,patch,1,,
awslabs/eventbridge-kafka-connector,252,1,ch.qos.logback:logback-classic,1.5.0,1.5.2,patch,1,,
awslabs/eventbridge-kafka-connector,244,1,ch.qos.logback:logback-classic,1.4.14,1.5.0,minor,1,0,no_test
awslabs/eventbridge-kafka-connector,180,1,ch.qos.logback:logback-classic,1.4.12,1.4.14,patch,1,0,no_test
awslabs/eventbridge-kafka-connector,178,1,ch.qos.logback:logback-classic,1.4.11,1.4.12,patch,1,0,no_test
awslabs/eventbridge-kafka-connector,104,1,ch.qos.logback:logback-classic,1.4.8,1.4.11,patch,0,,
awslabs/eventbridge-kafka-connector,283,1,ch.qos.logback:logback-classic,1.5.5,1.5.6,patch,1,0,no_test
awslabs/eventbridge-kafka-connector,280,1,ch.qos.logback:logback-classic,1.5.3,1.5.5,patch,1,0,no_test
devlive-community/datacap,534,1,ch.qos.logback:logback-classic,1.2.11,1.2.13,patch,1,0,no_compile
instancio/instancio,828,1,ch.qos.logback:logback-classic,1.3.6,1.3.12,patch,0,,
microstream-one/microstream,681,1,ch.qos.logback:logback-classic,1.2.10,1.3.12,minor,0,,
MoshiCoCo/Apple-Monitor,31,1,ch.qos.logback:logback-classic,1.4.5,1.4.11,patch,0,,
Cosium/matrix-communication-client,59,1,ch.qos.logback:logback-classic,1.5.5,1.5.6,patch,1,0,no_test
Cosium/matrix-communication-client,58,1,ch.qos.logback:logback-classic,1.5.3,1.5.5,patch,1,0,no_test
Cosium/matrix-communication-client,51,1,ch.qos.logback:logback-classic,1.5.2,1.5.3,patch,1,,
Cosium/matrix-communication-client,49,1,ch.qos.logback:logback-classic,1.5.0,1.5.2,patch,1,,
Cosium/matrix-communication-client,48,1,ch.qos.logback:logback-classic,1.4.14,1.5.0,minor,1,0,no_test
Cosium/matrix-communication-client,36,1,ch.qos.logback:logback-classic,1.4.11,1.4.14,patch,1,0,no_test
Cosium/matrix-communication-client,21,1,ch.qos.logback:logback-classic,1.4.8,1.4.11,patch,0,,
artemnefedov/JavaAI,33,1,ch.qos.logback:logback-classic,1.4.14,1.5.0,minor,1,0,no_test
artemnefedov/JavaAI,29,1,ch.qos.logback:logback-classic,1.4.12,1.4.14,patch,1,0,no_test
artemnefedov/JavaAI,27,1,ch.qos.logback:logback-classic,1.4.11,1.4.12,patch,1,0,no_test
artemnefedov/JavaAI,19,1,ch.qos.logback:logback-classic,1.4.9,1.4.11,patch,0,,
artemnefedov/JavaAI,18,1,ch.qos.logback:logback-classic,1.4.8,1.4.9,patch,0,,
rabobank/shadow-tool,121,1,ch.qos.logback:logback-classic,1.4.12,1.4.14,patch,1,0,no_test
rabobank/shadow-tool,119,1,ch.qos.logback:logback-classic,1.4.11,1.4.12,patch,1,0,no_test
devlive-community/datacap,533,1,ch.qos.logback:logback-core,1.2.11,1.2.13,patch,1,0,no_compile
alibaba/fastjson2,2255,1,cn.hutool:hutool-all,5.8.25,5.8.26,patch,0,,
alibaba/fastjson2,2193,1,cn.hutool:hutool-all,5.8.24,5.8.25,patch,1,0,no_test
alibaba/fastjson2,2130,1,cn.hutool:hutool-all,5.8.23,5.8.24,patch,0,,
alibaba/fastjson2,2010,1,cn.hutool:hutool-all,5.8.22,5.8.23,patch,0,,
alibaba/fastjson2,1863,1,cn.hutool:hutool-all,5.8.21,5.8.22,patch,0,,
alibaba/fastjson2,1740,1,cn.hutool:hutool-all,5.8.17,5.8.21,patch,0,,
apache/eventmesh-dashboard,125,1,com.alibaba.fastjson2:fastjson2,2.0.40,2.0.49,patch,0,,
apache/eventmesh-dashboard,106,1,com.alibaba.nacos:nacos-client,2.1.2,2.3.2,minor,0,,
KouShenhai/KCloud-Platform-Alibaba,988,1,com.alibaba:druid,1.2.16,1.2.20,patch,0,,
KouShenhai/KCloud-Platform-IoT,988,1,com.alibaba:druid,1.2.16,1.2.20,patch,0,,
apache/eventmesh-dashboard,108,1,com.alibaba:druid-spring-boot-starter,1.2.21,1.2.22,patch,0,,
meteorOSS/wechat-bc,11,1,com.alibaba:fastjson,2.0.31,2.0.46,patch,1,0,no_compile
SonicCloudOrg/sonic-server,431,1,com.alibaba:fastjson,2.0.47,2.0.48,patch,1,0,no_compile
SonicCloudOrg/sonic-server,426,1,com.alibaba:fastjson,2.0.45,2.0.47,patch,0,,
SonicCloudOrg/sonic-server,410,1,com.alibaba:fastjson,2.0.44,2.0.45,patch,1,0,no_compile
SonicCloudOrg/sonic-server,400,1,com.alibaba:fastjson,2.0.40,2.0.44,patch,1,0,no_compile
SonicCloudOrg/sonic-server,380,1,com.alibaba:fastjson,2.0.38,2.0.40,patch,1,0,no_compile
SonicCloudOrg/sonic-server,370,1,com.alibaba:fastjson,2.0.35,2.0.38,patch,1,0,no_compile
SonicCloudOrg/sonic-agent,433,1,com.alibaba:fastjson,2.0.38,2.0.49,patch,0,,
SonicCloudOrg/sonic-agent,379,1,com.alibaba:fastjson,2.0.35,2.0.38,patch,1,0,no_compile
KouShenhai/KCloud-Platform-Alibaba,961,1,com.alibaba:transmittable-thread-local,2.14.3,2.14.4,patch,1,1,
KouShenhai/KCloud-Platform-IoT,961,1,com.alibaba:transmittable-thread-local,2.14.3,2.14.4,patch,1,1,
alibaba/fastjson2,2470,1,com.aliyun.odps:odps-sdk-core,0.46.13-public,0.48.0-public,minor,0,,
alibaba/fastjson2,2465,1,com.aliyun.odps:odps-sdk-core,0.46.13-public,0.48.0-public,minor,0,,
alibaba/fastjson2,2294,1,com.aliyun.odps:odps-sdk-core,0.45.6-public,0.46.13-public,minor,0,,
alibaba/fastjson2,2048,1,com.aliyun.odps:odps-sdk-core,0.45.5-public,0.45.6-public,patch,1,,
alibaba/fastjson2,1979,1,com.aliyun.odps:odps-sdk-core,0.45.3-public,0.45.5-public,patch,1,,
alibaba/fastjson2,1887,1,com.aliyun.odps:odps-sdk-core,0.45.2-public,0.45.3-public,patch,0,,
alibaba/fastjson2,1808,1,com.aliyun.odps:odps-sdk-core,0.45.1-public,0.45.2-public,patch,1,,
alibaba/fastjson2,1751,1,com.aliyun.odps:odps-sdk-core,0.43.4-public,0.45.1-public,minor,0,,
alibaba/fastjson2,2473,1,com.aliyun.odps:odps-sdk-udf,0.46.13-public,0.48.0-public,minor,1,,
alibaba/fastjson2,2464,1,com.aliyun.odps:odps-sdk-udf,0.46.13-public,0.48.0-public,minor,1,,
alibaba/fastjson2,2293,1,com.aliyun.odps:odps-sdk-udf,0.45.6-public,0.46.13-public,minor,1,,
alibaba/fastjson2,2045,1,com.aliyun.odps:odps-sdk-udf,0.45.5-public,0.45.6-public,patch,1,,
alibaba/fastjson2,1968,1,com.aliyun.odps:odps-sdk-udf,0.45.3-public,0.45.5-public,patch,1,,
alibaba/fastjson2,1918,1,com.aliyun.odps:odps-sdk-udf,0.45.2-public,0.45.3-public,patch,1,,
alibaba/fastjson2,1818,1,com.aliyun.odps:odps-sdk-udf,0.45.1-public,0.45.2-public,patch,1,,
alibaba/fastjson2,1737,1,com.aliyun.odps:odps-sdk-udf,0.43.4-public,0.45.1-public,minor,1,,
KouShenhai/KCloud-Platform-Alibaba,1517,1,com.amazonaws:aws-java-sdk-s3,1.12.695,1.12.696,patch,1,0,no_test
KouShenhai/KCloud-Platform-IoT,1654,1,com.amazonaws:aws-java-sdk-s3,1.12.704,1.12.705,patch,1,0,no_test
KouShenhai/KCloud-Platform-IoT,1517,1,com.amazonaws:aws-java-sdk-s3,1.12.695,1.12.696,patch,1,0,no_test
jhipster/jhipster-lite,9756,1,com.approvaltests:approvaltests,23.1.0,24.0.0,major,0,,
jhipster/jhipster-lite,9676,1,com.approvaltests:approvaltests,22.3.3,23.1.0,major,0,,
JDK-Plus/spring-boot-starter-milvus,28,1,com.azure:azure-core,1.47.0,1.48.0,minor,0,,
JDK-Plus/spring-boot-starter-milvus,21,1,com.azure:azure-core,1.45.1,1.47.0,minor,0,,
JDK-Plus/spring-boot-starter-milvus,10,1,com.azure:azure-core,1.43.0,1.45.1,minor,0,,
JDK-Plus/spring-boot-starter-milvus,29,1,com.azure:azure-core-http-netty,1.14.1,1.14.2,patch,1,,
JDK-Plus/spring-boot-starter-milvus,20,1,com.azure:azure-core-http-netty,1.13.11,1.14.1,minor,1,,
alibaba/fastjson2,2416,1,com.baomidou:mybatis-plus,3.5.3.1,3.5.6,patch,1,,
SonicCloudOrg/sonic-server,401,1,com.baomidou:mybatis-plus-boot-starter,3.5.3.1,3.5.5,patch,0,,
britka/playwrightium,20,1,com.codeborne:selenide,7.1.0,7.2.0,minor,1,0,no_maven
britka/playwrightium,18,1,com.codeborne:selenide,7.0.6,7.1.0,minor,1,0,no_maven
britka/playwrightium,10,1,com.codeborne:selenide,7.0.4,7.0.6,patch,1,0,no_maven
britka/playwrightium,45,1,com.codeborne:selenide-testng,7.2.3,7.3.1,minor,1,0,no_maven
britka/playwrightium,31,1,com.codeborne:selenide-testng,7.2.2,7.2.3,patch,1,0,no_maven
britka/playwrightium,28,1,com.codeborne:selenide-testng,7.2.1,7.2.2,patch,1,0,no_maven
britka/playwrightium,24,1,com.codeborne:selenide-testng,7.2.0,7.2.1,patch,1,0,no_maven
KouShenhai/KCloud-Platform-Alibaba,1086,1,com.ctrip.framework.apollo:apollo-openapi,2.1.0,2.2.0,minor,1,0,no_test
KouShenhai/KCloud-Platform-IoT,1086,1,com.ctrip.framework.apollo:apollo-openapi,2.1.0,2.2.0,minor,1,0,no_test
devlive-community/datacap,558,1,com.dameng:DmJdbcDriver18,8.1.2.192,8.1.3.62,patch,0,,
liquibase/liquibase-databricks,135,1,com.databricks:databricks-jdbc,2.6.36,2.6.38,patch,0,,
liquibase/liquibase-databricks,91,1,com.databricks:databricks-jdbc,2.6.34,2.6.36,patch,0,,
albilu/netbeansPython,65,1,com.electronwill.night-config:core,3.6.6,3.6.7,patch,1,0,no_maven
albilu/netbeansPython,68,1,com.electronwill.night-config:toml,3.6.6,3.6.7,patch,1,0,no_maven
alibaba/fastjson2,2163,1,com.esotericsoftware:kryo,5.5.0,5.6.0,minor,0,,
Swofty-Developments/HypixelSkyBlock,132,1,com.fasterxml.jackson.core:jackson-annotations,2.16.2,2.17.0,minor,1,0,no_compile
Swofty-Developments/HypixelSkyBlock,109,1,com.fasterxml.jackson.core:jackson-annotations,2.16.1,2.16.2,patch,1,0,no_compile
Swofty-Developments/HypixelSkyBlock,31,1,com.fasterxml.jackson.core:jackson-annotations,2.16.0,2.16.1,patch,1,0,no_compile
Swofty-Developments/HypixelSkyBlock,320,1,com.fasterxml.jackson.core:jackson-annotations,2.17.0,2.17.1,patch,1,0,no_compile
Swofty-Developments/HypixelSkyBlock,130,1,com.fasterxml.jackson.core:jackson-core,2.16.2,2.17.0,minor,0,,
Swofty-Developments/HypixelSkyBlock,110,1,com.fasterxml.jackson.core:jackson-core,2.16.1,2.16.2,patch,1,1,
Swofty-Developments/HypixelSkyBlock,29,1,com.fasterxml.jackson.core:jackson-core,2.16.0,2.16.1,patch,1,1,
Swofty-Developments/HypixelSkyBlock,321,1,com.fasterxml.jackson.core:jackson-core,2.17.0,2.17.1,patch,1,0,no_compile
Flmelody/windward,49,1,com.fasterxml.jackson.core:jackson-databind,2.16.2,2.17.0,minor,0,,
