repository,pr,ga,v_old,v_new,update_type,statically_compatible,dynamically_compatible,err
KouShenhai/KCloud-Platform-Alibaba,1517,com.amazonaws:aws-java-sdk-s3,1.12.695,1.12.696,patch,True,False,no_test
KouShenhai/KCloud-Platform-Alibaba,1222,org.postgresql:postgresql,42.7.1,42.7.2,patch,False,,
KouShenhai/KCloud-Platform-Alibaba,1219,io.netty:netty-all,4.1.106.Final,4.1.107.Final,patch,True,False,no_compile
KouShenhai/KCloud-Platform-Alibaba,1218,org.redisson:redisson,3.26.0,3.26.1,patch,False,,
KouShenhai/KCloud-Platform-Alibaba,1186,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.17.16,7.17.17,patch,True,False,no_maven
KouShenhai/KCloud-Platform-Alibaba,1169,io.netty:netty-all,4.1.105.Final,4.1.106.Final,patch,True,False,no_compile
KouShenhai/KCloud-Platform-Alibaba,1148,org.mockito:mockito-core,5.8.0,5.9.0,minor,True,False,no_maven
KouShenhai/KCloud-Platform-Alibaba,1113,org.apache.logging.log4j:log4j-core,2.22.0,2.22.1,patch,True,,NO_GITHUB
KouShenhai/KCloud-Platform-Alibaba,1086,com.ctrip.framework.apollo:apollo-openapi,2.1.0,2.2.0,minor,True,False,no_test
KouShenhai/KCloud-Platform-Alibaba,1041,org.apache.httpcomponents:httpcore,4.4.15,4.4.16,patch,True,,NO_GITHUB
KouShenhai/KCloud-Platform-Alibaba,1007,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.17.15,7.17.16,patch,True,False,no_maven
KouShenhai/KCloud-Platform-Alibaba,988,com.alibaba:druid,1.2.16,1.2.20,patch,False,,
KouShenhai/KCloud-Platform-Alibaba,961,com.alibaba:transmittable-thread-local,2.14.3,2.14.4,patch,True,True,
KouShenhai/KCloud-Platform-Alibaba,959,org.flywaydb:flyway-mysql,9.20.0,10.1.0,major,False,,
KouShenhai/KCloud-Platform-Alibaba,556,org.springframework.kafka:spring-kafka,3.0.4,3.0.10,patch,False,,
OpenFeign/querydsl,371,com.microsoft.sqlserver:mssql-jdbc,12.6.1.jre8,12.7.0.jre8-preview,minor,False,,
OpenFeign/querydsl,370,io.asyncer:r2dbc-mysql,1.1.2,1.1.3,patch,False,,
OpenFeign/querydsl,368,org.apache.maven.plugins:maven-source-plugin,3.3.0,3.3.1,patch,True,,NO_GITHUB
OpenFeign/querydsl,366,io.github.classgraph:classgraph,4.8.168,4.8.170,patch,True,True,
OpenFeign/querydsl,363,org.jacoco:jacoco-maven-plugin,0.8.11,0.8.12,patch,True,False,no_test
OpenFeign/querydsl,361,net.bytebuddy:byte-buddy,1.14.12,1.14.13,patch,True,,NO_GITHUB
OpenFeign/querydsl,358,org.apache.maven.plugins:maven-gpg-plugin,3.2.1,3.2.2,patch,False,,
OpenFeign/querydsl,356,org.ow2.asm:asm-bom,9.6,9.7,minor,False,,NO_JAR
OpenFeign/querydsl,349,org.apache.maven.plugins:maven-compiler-plugin,3.12.1,3.13.0,minor,True,True,
OpenFeign/querydsl,348,org.apache.maven.plugins:maven-gpg-plugin,3.2.0,3.2.1,patch,True,,NO_GITHUB
OpenFeign/querydsl,347,org.apache.maven.plugins:maven-assembly-plugin,3.7.0,3.7.1,patch,True,,NO_GITHUB
OpenFeign/querydsl,345,io.smallrye:jandex,3.1.6,3.1.7,patch,True,False,no_test
OpenFeign/querydsl,344,org.postgresql:postgresql,42.7.2,42.7.3,patch,True,False,no_maven
OpenFeign/querydsl,341,com.google.guava:guava,33.0.0-jre,33.1.0-jre,minor,False,,
OpenFeign/querydsl,339,org.xerial:sqlite-jdbc,3.45.1.0,3.45.2.0,patch,True,True,
OpenFeign/querydsl,338,io.projectreactor:reactor-bom,2023.0.3,2023.0.4,patch,False,,NO_JAR
OpenFeign/querydsl,336,org.apache.maven.plugins:maven-gpg-plugin,3.1.0,3.2.0,minor,False,,
OpenFeign/querydsl,335,org.apache.maven.plugins:maven-assembly-plugin,3.6.0,3.7.0,minor,False,,
OpenFeign/querydsl,334,org.firebirdsql.jdbc:jaybird,5.0.3.java11,5.0.4.java11,patch,True,False,no_maven
OpenFeign/querydsl,333,org.apache.logging.log4j:log4j-core,2.23.0,2.23.1,patch,True,,NO_GITHUB
OpenFeign/querydsl,332,com.github.ekryd.sortpom:sortpom-maven-plugin,3.4.0,3.4.1,patch,True,False,no_test
OpenFeign/querydsl,330,io.github.classgraph:classgraph,4.8.165,4.8.168,patch,True,True,
OpenFeign/querydsl,327,com.github.siom79.japicmp:japicmp-maven-plugin,0.19.1,0.20.0,minor,True,,NO_GITHUB
OpenFeign/querydsl,325,org.jetbrains.dokka:dokka-maven-plugin,1.9.10,1.9.20,patch,True,False,no_maven
OpenFeign/querydsl,324,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.5,0.19.1,minor,False,,
OpenFeign/querydsl,321,io.asyncer:r2dbc-mysql,1.1.1,1.1.2,patch,False,,
OpenFeign/querydsl,316,org.apache.logging.log4j:log4j-core,2.22.1,2.23.0,minor,True,,NO_GITHUB
OpenFeign/querydsl,312,com.microsoft.sqlserver:mssql-jdbc,12.6.0.jre8,12.6.1.jre8,patch,True,False,no_compile
OpenFeign/querydsl,311,com.github.ekryd.sortpom:sortpom-maven-plugin,3.3.0,3.4.0,minor,True,False,no_test
OpenFeign/querydsl,310,org.postgresql:postgresql,42.7.1,42.7.2,patch,False,,
OpenFeign/querydsl,308,net.bytebuddy:byte-buddy,1.14.11,1.14.12,patch,True,,NO_GITHUB
OpenFeign/querydsl,305,net.bytebuddy:byte-buddy,1.14.11,1.14.12,patch,True,,NO_GITHUB
OpenFeign/querydsl,303,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.3,0.18.4,patch,True,,NO_GITHUB
OpenFeign/querydsl,288,joda-time:joda-time,2.12.6,2.12.7,patch,True,False,no_compile
OpenFeign/querydsl,286,org.junit:junit-bom,5.10.1,5.10.2,patch,False,,NO_JAR
OpenFeign/querydsl,285,org.junit:junit-bom,5.10.1,5.10.2,patch,False,,NO_JAR
OpenFeign/querydsl,283,org.assertj:assertj-core,3.25.2,3.25.3,patch,True,False,no_test
OpenFeign/querydsl,280,com.microsoft.sqlserver:mssql-jdbc,12.5.0.jre8-preview,12.6.0.jre8,minor,False,,
OpenFeign/querydsl,278,org.xerial:sqlite-jdbc,3.45.0.0,3.45.1.0,patch,True,True,
OpenFeign/querydsl,270,org.assertj:assertj-core,3.25.1,3.25.2,patch,True,False,
OpenFeign/querydsl,264,org.springframework.boot:spring-boot-starter-parent,3.2.1,3.2.2,patch,False,,NO_JAR
OpenFeign/querydsl,258,com.squareup:kotlinpoet-jvm,1.15.3,1.16.0,minor,False,,
OpenFeign/querydsl,254,org.apache.maven.plugins:maven-surefire-plugin,3.2.3,3.2.5,patch,True,,NO_GITHUB
OpenFeign/querydsl,252,org.apache.maven.plugins:maven-plugin-plugin,3.10.2,3.11.0,minor,True,,NO_GITHUB
OpenFeign/querydsl,242,org.orbisgis:h2gis,2.2.0,2.2.1,patch,False,,
OpenFeign/querydsl,241,joda-time:joda-time,2.12.5,2.12.6,patch,True,False,no_compile
OpenFeign/querydsl,240,com.fasterxml:classmate,1.6.0,1.7.0,minor,False,,
OpenFeign/querydsl,235,org.orbisgis:h2gis,2.2.0,2.2.1,patch,False,,
OpenFeign/querydsl,234,com.fasterxml:classmate,1.6.0,1.7.0,minor,False,,
OpenFeign/querydsl,233,org.assertj:assertj-core,3.25.0,3.25.1,patch,False,,
OpenFeign/querydsl,232,org.assertj:assertj-core,3.24.2,3.25.0,minor,False,,
OpenFeign/querydsl,230,org.apache.logging.log4j:log4j-core,2.22.0,2.22.1,patch,True,,NO_GITHUB
OpenFeign/querydsl,229,org.eclipse.persistence:eclipselink,2.7.13,2.7.14,patch,False,,
OpenFeign/querydsl,224,org.apache.logging.log4j:log4j-core,2.22.0,2.22.1,patch,True,,NO_GITHUB
OpenFeign/querydsl,221,org.javassist:javassist,3.30.1-GA,3.30.2-GA,patch,True,,NO_TAG
OpenFeign/querydsl,220,org.springframework.boot:spring-boot-starter-parent,3.2.0,3.2.1,patch,False,,NO_JAR
OpenFeign/querydsl,218,org.apache.maven.plugins:maven-compiler-plugin,3.11.0,3.12.1,minor,True,True,
OpenFeign/querydsl,217,net.alchim31.maven:scala-maven-plugin,3.1.3,3.4.6,minor,False,,
OpenFeign/querydsl,216,net.bytebuddy:byte-buddy,1.14.10,1.14.11,patch,True,,NO_GITHUB
OpenFeign/querydsl,214,org.apache.maven.plugins:maven-compiler-plugin,3.11.0,3.12.1,minor,True,True,
OpenFeign/querydsl,213,org.codehaus.plexus:plexus-component-annotations,2.1.1,2.2.0,minor,True,False,no_test
OpenFeign/querydsl,212,org.codehaus.plexus:plexus-classworlds,2.7.0,2.8.0,minor,True,True,
OpenFeign/querydsl,211,org.javassist:javassist,3.30.1-GA,3.30.2-GA,patch,True,,NO_TAG
OpenFeign/querydsl,203,io.github.classgraph:classgraph,4.8.164,4.8.165,patch,True,True,
OpenFeign/querydsl,202,com.google.guava:guava,32.1.3-jre,33.0.0-jre,major,False,,
OpenFeign/querydsl,200,org.xerial:sqlite-jdbc,3.43.2.2,3.44.1.0,minor,False,,
