gav,compatibilities
com.google.code.gson:gson:2.10.1,1
com.fasterxml.jackson.core:jackson-databind:2.16.2,1
com.fasterxml.jackson.core:jackson-core:2.16.2,2
ch.qos.logback:logback-core:1.4.11,3
org.apache.logging.log4j:log4j-to-slf4j:2.20.0,1
com.fasterxml.jackson.core:jackson-databind:2.15.3,2
com.fasterxml.jackson.core:jackson-core:2.15.3,2
org.slf4j:slf4j-api:2.0.6,5
dnsjava:dnsjava:3.5.3,1
junit:junit:4.13.2,2
com.github.docker-java:docker-java-api:3.3.4,1
org.slf4j:slf4j-api:2.0.7,5
jakarta.validation:jakarta.validation-api:3.0.2,6
com.fasterxml.jackson.core:jackson-databind:2.14.2,2
com.fasterxml.jackson.core:jackson-core:2.14.2,1
org.springdoc:springdoc-openapi-starter-common:2.0.0,2
org.springdoc:springdoc-openapi-starter-webflux-ui:2.0.0,12
org.springdoc:springdoc-openapi-starter-webflux-api:2.0.0,7
org.webjars:webjars-locator-core:0.52,7
io.github.classgraph:classgraph:4.8.149,2
org.springdoc:springdoc-openapi-starter-webmvc-ui:2.0.0,6
org.springdoc:springdoc-openapi-starter-webmvc-api:2.0.0,2
com.github.jsqlparser:jsqlparser:4.4,1
org.xerial:sqlite-jdbc:3.39.4.1,1
com.fasterxml.jackson.core:jackson-databind:2.11.4,1
com.amihaiemil.web:docker-java-api:0.0.13,1
org.bytedeco:javacpp:1.5.6,1
com.typesafe.netty:netty-reactive-streams:2.0.4,9
com.google.zxing:core:3.4.1,1
com.google.zxing:javase:3.4.1,6
cn.hutool:hutool-http:5.8.5,8
org.codehaus.plexus:plexus-java:1.1.0,4
org.codehaus.plexus:plexus-archiver:4.2.7,2
org.codehaus.plexus:plexus-io:3.2.0,3
org.xerial:sqlite-jdbc:3.36.0.3,2
com.google.http-client:google-http-client:1.41.8,12
com.google.http-client:google-http-client-jackson2:1.41.8,20
com.google.api-client:google-api-client:1.34.1,8
com.google.oauth-client:google-oauth-client:1.33.3,1
com.google.http-client:google-http-client-gson:1.41.8,20
com.google.http-client:google-http-client-apache-v2:1.41.8,20
com.google.cloud:google-cloud-core-http:2.7.1,104
com.google.http-client:google-http-client-appengine:1.41.8,20
com.fasterxml.jackson.core:jackson-databind:2.17.0,1
com.fasterxml.jackson.core:jackson-core:2.17.0,2
org.assertj:assertj-core:3.25.3,1
net.datafaker:datafaker:2.1.0,1
org.apache.commons:commons-text:1.3,1
com.vladsch.flexmark:flexmark-ext-tables:0.62.2,11
com.vladsch.flexmark:flexmark-util:0.62.2,1
com.aventstack:extentreports:5.1.1,1
org.codehaus.plexus:plexus-java:1.2.0,1
org.codehaus.plexus:plexus-xml:3.0.0,1
org.codehaus.plexus:plexus-utils:4.0.0,2
com.github.virtuald:curvesapi:1.08,4
com.google.zxing:javase:3.5.3,6
com.google.zxing:core:3.5.3,2
jakarta.validation:jakarta.validation-api:2.0.2,2
com.samskivert:jmustache:1.14,1
com.github.jknack:handlebars:4.3.0,1
com.github.jknack:handlebars-jackson2:4.3.0,2
com.github.curious-odd-man:rgxgen:1.3,1
com.fasterxml.jackson.core:jackson-databind:2.13.4,4
com.fasterxml.jackson.datatype:jackson-datatype-joda:2.13.4,36
com.github.joschi.jackson:jackson-datatype-threetenbp:2.10.0,1
ch.qos.logback:logback-core:1.4.14,3
org.codehaus.janino:janino:3.1.11,2
org.codehaus.janino:commons-compiler:3.1.11,3
org.apache.flink:flink-clients:1.16.1,3
org.apache.flink:flink-core:1.16.1,3
org.apache.flink:flink-optimizer:1.16.1,7
org.apache.flink:flink-java:1.16.1,9
org.apache.flink:flink-streaming-java:1.16.1,2
org.reflections:reflections:0.9.12,1
com.fasterxml.jackson.core:jackson-databind:2.9.10.4,9
com.cedarsoftware:json-io:2.5.1,4
com.carrotsearch:hppc:0.7.2,2
com.google.code.gson:gson:2.9.0,1
org.hdrhistogram:HdrHistogram:2.1.12,1
io.github.hakky54:sslcontext-kickstart:8.3.2,1
org.slf4j:slf4j-simple:2.0.5,11
com.github.jknack:handlebars:4.2.1,1
com.github.kwhat:jnativehook:2.2.2,1
ch.qos.logback:logback-core:1.4.7,1
org.slf4j:slf4j-api:2.0.4,5
com.github.oshi:oshi-core:6.4.4,4
org.jfree:jfreechart:1.5.4,1
com.fasterxml.jackson.core:jackson-databind:2.13.4.2,3
org.codehaus.plexus:plexus-utils:3.4.1,2
org.slf4j:slf4j-api:2.0.0-beta1,9
com.fasterxml.jackson.core:jackson-databind:2.16.1,2
com.fasterxml.jackson.core:jackson-core:2.16.1,2
org.apache.maven.plugins:maven-compiler-plugin:3.13.0,3
com.fasterxml.jackson.core:jackson-databind:2.13.2.2,7
com.fasterxml.jackson.core:jackson-databind:2.11.0,1
com.fasterxml.jackson.core:jackson-databind:2.13.2,6
com.fasterxml.jackson.core:jackson-databind:2.10.0,1
com.fasterxml.jackson.core:jackson-databind:2.10.5.1,3
com.fasterxml.jackson.core:jackson-databind:2.10.5,3
com.fasterxml.jackson.core:jackson-databind:2.9.10,9
com.fasterxml.jackson.core:jackson-databind:2.9.5,1
com.fasterxml.jackson.core:jackson-databind:2.9.4,1
junit:junit:4.12,1
org.xmlunit:xmlunit-core:2.8.3,2
org.slf4j:slf4j-api:2.0.5,5
org.springframework.data:spring-data-jpa:3.2.1,1
org.springdoc:springdoc-openapi-starter-webmvc-ui:2.3.0,4
org.springdoc:springdoc-openapi-starter-webmvc-api:2.3.0,1
org.springdoc:springdoc-openapi-starter-common:2.3.0,1
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.16.0,4
com.fasterxml.jackson.core:jackson-core:2.16.0,3
com.fasterxml.jackson.core:jackson-databind:2.16.0,3
org.springframework.data:spring-data-jpa:3.1.5,2
org.springdoc:springdoc-openapi-starter-webmvc-ui:2.1.0,5
org.springdoc:springdoc-openapi-starter-webmvc-api:2.1.0,1
org.springdoc:springdoc-openapi-starter-common:2.1.0,1
org.springdoc:springdoc-openapi-starter-webmvc-ui:2.0.4,6
org.springdoc:springdoc-openapi-starter-webmvc-api:2.0.4,3
org.springdoc:springdoc-openapi-starter-common:2.0.4,1
org.webjars:webjars-locator-core:0.55,7
org.springdoc:springdoc-openapi-ui:1.7.0,2
org.springdoc:springdoc-openapi-webmvc-core:1.7.0,1
org.springdoc:springdoc-openapi-common:1.7.0,1
io.github.classgraph:classgraph:4.8.83,4
me.tongfei:progressbar:0.10.0,2
com.fasterxml.jackson.core:jackson-databind:2.17.1,1
com.fasterxml.jackson.core:jackson-core:2.17.1,1
com.fasterxml.jackson.core:jackson-databind:2.15.4,1
com.fasterxml.jackson.core:jackson-core:2.15.4,2
org.springframework.data:spring-data-jpa:3.2.0,1
org.springdoc:springdoc-openapi-starter-webmvc-ui:2.0.2,6
org.springdoc:springdoc-openapi-starter-webmvc-api:2.0.2,2
org.springdoc:springdoc-openapi-starter-common:2.0.2,1
org.codehaus.janino:janino:3.1.10,1
org.slf4j:jul-to-slf4j:2.0.7,12
com.github.oshi:oshi-core:6.1.3,1
javax.validation:validation-api:2.0.1.Final,1
org.springframework.data:spring-data-jpa:3.1.3,2
com.fasterxml.jackson.core:jackson-databind:2.15.2,3
com.fasterxml.jackson.core:jackson-core:2.15.2,3
net.minidev:json-smart:2.4.11,4
org.springframework.retry:spring-retry:2.0.2,2
com.microsoft.playwright:playwright:1.43.0,1
com.microsoft.playwright:driver-bundle:1.43.0,1
org.slf4j:slf4j-api:2.0.3,5
io.github.java-diff-utils:java-diff-utils:4.12,1
com.vdurmont:semver4j:3.1.0,1
org.rauschig:jarchivelib:1.2.0,3
com.fasterxml.jackson.core:jackson-databind:2.13.5,3
ognl:ognl:3.2.1,2
net.openhft:compiler:2.25ea2,6
org.jboss.threads:jboss-threads:3.5.0.Final,3
org.springframework.data:spring-data-redis:3.1.5,1
io.lettuce:lettuce-core:6.2.6.RELEASE,2
org.springframework.data:spring-data-jpa:3.1.4,1
org.springdoc:springdoc-openapi-starter-webmvc-ui:2.2.0,4
org.springdoc:springdoc-openapi-starter-webmvc-api:2.2.0,1
org.springdoc:springdoc-openapi-starter-common:2.2.0,1
org.fusesource.jansi:jansi:2.3.2,3
org.slf4j:slf4j-simple:2.0.7,12
com.fasterxml.jackson.core:jackson-databind:2.10.1,1
io.github.sashirestela:cleverclient:1.4.2,1
io.github.sashirestela:slimvalidator:1.2.1,1
com.github.jsqlparser:jsqlparser:4.6,1
org.mybatis:mybatis-spring:3.0.3,1
ch.qos.logback:logback-core:1.4.8,1
org.liquibase:liquibase-core:4.20.0,1
org.springdoc:springdoc-openapi-starter-webmvc-ui:2.0.3,6
org.springdoc:springdoc-openapi-starter-webmvc-api:2.0.3,3
org.springdoc:springdoc-openapi-starter-common:2.0.3,1
org.mybatis.spring.boot:mybatis-spring-boot-autoconfigure:3.0.2,2
org.mybatis:mybatis-spring:3.0.2,1
org.springframework.data:spring-data-redis:3.1.1,4
com.fasterxml.jackson.core:jackson-databind:2.15.1,4
com.fasterxml.jackson.core:jackson-core:2.15.1,4
com.jcabi:jcabi-log:0.24.1,4
org.springframework.data:spring-data-jpa:3.1.1,1
org.codehaus.janino:janino:3.1.9,2
org.codehaus.janino:commons-compiler:3.1.9,2
io.r2dbc:r2dbc-spi:1.0.0.RELEASE,1
org.springframework.data:spring-data-jpa:3.2.5,1
com.googlecode.javaewah:JavaEWAH:1.2.3,3
org.jsoup:jsoup:1.17.2,1
org.xhtmlrenderer:flying-saucer-core:9.7.2,3
com.jcabi.incubator:xembly:0.31.1,1
com.jcabi:jcabi-xml:0.29.0,1
com.jcabi:jcabi-log:0.24.0,3
org.cactoos:cactoos:0.55.0,1
org.eolang:eo-parser:0.38.0,1
com.yegor256:xsline:0.21.1,1
com.jcabi:jcabi-manifests:2.1.0,1
com.yegor256:jhome:0.0.5,1
jakarta.validation:jakarta.validation-api:3.0.0,6
org.jsoup:jsoup:1.16.1,1
org.codehaus.plexus:plexus-utils:3.5.1,1
org.springframework.cloud:spring-cloud-context:3.1.6,1
org.springframework.cloud:spring-cloud-commons:3.1.6,1
org.springframework.cloud:spring-cloud-openfeign-core:3.1.7,1
org.json:json:20240303,1
ch.qos.logback:logback-classic:1.3.6,2
ch.qos.logback:logback-core:1.3.6,1
com.ethlo.time:itu:1.7.0,4
com.github.docker-java:docker-java-api:3.3.6,1
