Repository,Resolves,Compiles,Passes tests,Overlapping,Additions,Subtractions,Resolved,Replacements,Replacement rate,Downgrades,Upgrades,Change rate,Downgrade steps,Upgrade steps,Change magnitude
f0ng/captcha-killer-modified,True,True,True,12,0,0,12,0,0.0,0,0,0.0,0,0,0
projectdiscovery/nuclei-burp-plugin,True,True,True,5,0,0,5,0,0.0,0,0,0.0,0,0,0
aws/event-ruler,True,True,True,4,0,0,4,2,0.5,0,0,0.0,0,0,0
linux-china/chatgpt-spring-boot-starter,True,True,True,35,11,0,46,2,0.043478260869565216,1,0,0.021739130434782608,1,0,1.0
p2-inc/keycloak-orgs,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
LuckyPuppy514/jproxy,True,True,True,86,2,0,88,6,0.06818181818181818,6,0,0.06818181818181818,23,0,3.8333333333333335
rubyangxg/jd-qinglong,True,True,True,175,5,0,150,3,0.02,0,0,0.0,0,0,0
SonicCloudOrg/sonic-driver-core,True,True,True,10,0,0,10,1,0.1,1,0,0.1,1,0,1.0
DBOS-project/apiary,True,True,True,143,0,0,141,16,0.11347517730496454,14,3,0.12056737588652482,147,33,10.588235294117647
clarisma/geodesk,True,True,True,4,0,0,4,0,0.0,0,0,0.0,0,0,0
anhtester/AutomationFrameworkSelenium,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
openapi-json-schema-tools/openapi-json-schema-generator,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
HamaWhiteGG/flink-sql-security,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
LiLittleCat/tools-in-ruanyf-weekly,True,True,True,8,0,0,8,0,0.0,0,0,0.0,0,0,0
apache/rocketmq-dashboard,True,True,True,170,1,0,171,4,0.023391812865497075,3,1,0.023391812865497075,32,3,8.75
logpresso/CVE-2021-44228-Scanner,True,True,True,2,0,0,2,0,0.0,0,0,0.0,0,0,0
Hakky54/certificate-ripper,True,True,True,4,0,0,4,0,0.0,0,0,0.0,0,0,0
ECharts-Java/ECharts-Java,True,True,True,4,0,0,4,0,0.0,0,0,0.0,0,0,0
Ninjabrain1/Ninjabrain-Bot,True,True,True,4,0,0,4,1,0.25,0,0,0.0,0,0,0
rememberber/MooInfo,True,True,True,40,0,0,40,1,0.025,0,0,0.0,0,0,0
jushahulian/java-go-python,True,True,True,20,0,0,20,0,0.0,0,0,0.0,0,0,0
MirnaGama/hospital-management-api,True,True,True,79,4,0,83,5,0.060240963855421686,7,0,0.08433734939759036,17,0,2.4285714285714284
rcaneppele/simple-openai-client,True,True,True,15,0,0,15,3,0.2,3,0,0.2,6,0,2.0
