Client,Library,Old Version,New Version,Error Type
HikariCP,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Error Only
HikariCP,org.apache.logging.log4j:log4j-core,2.11.1,2.12.1,Fail + Error
quickfixj,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Fail Only
quickfixj,org.slf4j:slf4j-jdk14,1.7.25,2.0.0-alpha1,Fail Only
openscoring,org.glassfish.jersey.media:jersey-media-multipart,2.27,2.29.1,Error Only
openscoring,org.glassfish.jersey.core:jersey-client,2.27,2.29.1,Error Only
openscoring,com.google.guava:guava,27.0-jre,28.2-jre,Error Only
openscoring,org.jpmml:pmml-evaluator-extension,1.4.4,1.4.14,Error Only
openscoring,org.glassfish.jersey.core:jersey-server,2.27,2.29.1,Error Only
byte-buddy,org.apache.maven:maven-core,3.2.5,3.6.2,Error Only
java-driver,org.slf4j:slf4j-api,1.7.26,2.0.0-alpha1,Error Only
java-driver,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Error Only
Cerberus,com.fasterxml.jackson.core:jackson-databind,2.5.3,2.10.1,Error Only
dble,org.apache.curator:curator-recipes,2.11.0,4.2.0,Fail Only
dble,org.apache.curator:curator-framework,2.11.0,4.2.0,Fail Only
dble,com.google.guava:guava,19.0,28.2-jre,Fail Only
dble,com.alibaba:druid,1.1.14,1.1.21,Fail Only
photon,org.elasticsearch.plugin:transport-netty4-client,5.5.0,7.5.1,Error Only
photon,org.elasticsearch.client:transport,5.5.0,7.5.1,Error Only
photon,org.apache.logging.log4j:log4j-slf4j-impl,2.8.2,2.13.0,Error Only
photon,org.openstreetmap.osmosis:osmosis-hstore-jdbc,0.43.1,0.47,Error Only
photon,org.springframework:spring-jdbc,4.0.0.RELEASE,5.2.2.RELEASE,Error Only
storm-crawler,org.apache.storm:storm-core,1.2.2,2.1.0,Error Only
storm-crawler,com.fasterxml.jackson.core:jackson-databind,2.8.11.3,2.10.1,Fail + Error
jitsi-videobridge,org.easymock:easymock,3.4,4.1,Error Only
javaparser,org.junit.jupiter:junit-jupiter-params,5.3.1,5.6.0-M1,Error Only
zt-exec,org.slf4j:slf4j-api,1.7.2,2.0.0-alpha1,Fail Only
zt-exec,ch.qos.logback:logback-classic,1.1.2,1.3.0-alpha5,Fail Only
servicecomb-pack,io.github.openfeign:feign-core,9.5.1,10.7.0,Error Only
servicecomb-pack,com.typesafe.akka:akka-actor_2.12,2.5.14,2.6.1,Error Only
servicecomb-pack,org.apache.logging.log4j:log4j-slf4j-impl,2.7,2.13.0,Error Only
servicecomb-pack,io.grpc:grpc-protobuf,1.14.0,1.26.0,Error Only
servicecomb-pack,org.slf4j:slf4j-simple,1.7.25,2.0.0-alpha1,Error Only
servicecomb-pack,org.apache.servicecomb.pack:alpha-core,0.4.0,0.5.0,Error Only
servicecomb-pack,org.apache.logging.log4j:log4j-core,2.7,2.13.0,Error Only
servicecomb-pack,org.apache.logging.log4j:log4j-api,2.7,2.13.0,Error Only
servicecomb-pack,io.netty:netty-common,4.1.24.Final,5.0.0.Alpha2,Error Only
servicecomb-pack,org.apache.servicecomb.pack:omega-transaction,0.4.0,0.5.0,Fail + Error
querydsl,org.hsqldb:hsqldb,2.3.2,2.5.0,Fail + Error
querydsl,org.mongodb:mongo-java-driver,3.5.0,3.12.0,Fail Only
querydsl,org.hibernate:hibernate-entitymanager,4.3.11.Final,6.0.0.Alpha3,Error Only
querydsl,org.apache.lucene:lucene-core,3.6.2,8.3.1,Error Only
querydsl,org.apache.derby:derby,10.11.1.1,10.15.1.3,Error Only
querydsl,org.hibernate:hibernate-validator,4.3.1.Final,6.1.0.Final,Error Only
querydsl,org.reflections:reflections,0.9.9,0.9.11,Error Only
querydsl,org.datanucleus:datanucleus-rdbms,3.2.0-release,5.2.1,Error Only
querydsl,com.h2database:h2,1.4.186,1.4.200,Error Only
querydsl,org.xerial:sqlite-jdbc,3.7.2,3.28.0,Error Only
OWASP-WebScarab,org.bouncycastle:bcprov-jdk15on,1.48,1.64,Error Only
killbill,org.eclipse.jetty:jetty-util,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,org.awaitility:awaitility,2.0.0,4.0.1,Fail Only
killbill,org.kill-bill.commons:killbill-skeleton,0.22.3,0.23.5,Fail Only
killbill,org.slf4j:slf4j-api,1.7.25,2.0.0-alpha1,Fail Only
killbill,ch.qos.logback:logback-classic,1.2.3,1.3.0-alpha5,Fail Only
killbill,com.google.inject:guice,4.1.0,4.2.2,Fail Only
killbill,org.kill-bill.commons:killbill-clock,0.22.3,0.23.5,Fail Only
killbill,com.sun.jersey:jersey-server,1.19.3,1.19.4,Fail Only
killbill,org.redisson:redisson,3.8.2,3.11.6,Fail Only
killbill,io.dropwizard.metrics:metrics-logback,3.2.2,4.1.2,Fail Only
killbill,org.kill-bill.commons:killbill-queue,0.22.3,0.23.5,Fail Only
killbill,org.kill-bill.commons:killbill-locker,0.22.3,0.23.5,Fail Only
killbill,org.eclipse.jetty:jetty-deploy,9.2.10.v20150310,10.0.0.alpha1,Fail Only
killbill,javax.cache:cache-api,1.0.0,1.1.1,Fail Only
killbill,org.kill-bill.billing:killbill-client-java,1.0.6,1.1.9,Fail Only
killbill,org.kill-bill.commons:killbill-concurrent,0.22.3,0.23.5,Fail Only
killbill,org.apache.shiro:shiro-web,1.3.2,1.4.2,Fail Only
killbill,org.slf4j:slf4j-simple,1.7.25,2.0.0-alpha1,Fail Only
killbill,org.apache.shiro:shiro-guice,1.3.2,1.4.2,Fail Only
killbill,mysql:mysql-connector-java,5.1.33,8.0.18,Fail Only
killbill,org.kill-bill.billing:killbill-beatrix,0.20.14,0.21.7,Fail Only
killbill,com.palominolabs.metrics:metrics-guice,3.2.1,4.0.0,Fail Only
killbill,io.airlift:units,1.0,1.4,Fail Only
killbill,org.kill-bill.billing:killbill-platform-lifecycle,0.38.3,0.39.8,Fail Only
killbill,com.google.guava:guava,26.0-jre,28.1-jre,Fail Only
killbill,org.kill-bill.commons:killbill-xmlloader,0.22.3,0.23.5,Fail Only
killbill,org.kill-bill.commons:killbill-embeddeddb-mysql,0.22.3,0.23.5,Fail Only
killbill,org.joda:joda-money,0.9,1.0.1,Fail Only
