project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
net.mamoe|mirai-logging-log4j2|2.8.3,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
io.tapir-test|tapir-extensions-allure2|2.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.10.0]",1,failed,Y,,
de.mhus.lib|lib-tests|7.7.0,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
com.slimgears.utils|test-utils-log4j|0.7.57,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.12.2]",1,success,,,
de.samply|converter.dktk.patient|2.3.0,org.apache.logging.log4j|log4j-core|2.8,"[2.8,2.10.0]",1,failed,Y,,
org.jboss.resteasy|microprofile-tck-runner|4.7.5.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.apache.servicecomb|solution-basic|1.3.9,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
org.alluxio|alluxio-shell|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.tersesystems.blacklite|blacklite-log4j2|1.1.1,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
io.github.jaxer-in|jaxer-api|1.0.3-beta,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.14.1]",1,failed,Y,,
org.smallmind|scribe-ink-log4j|4.4.9,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
cn.sliew|milky-common|1.0.5,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.hifiveai|hifive-openapi|4.2.0_2-RELEASE,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.teragrep|jla_06|1.0.2,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.sinkedship.cerberus|cerberus-commons|0.2.2,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
de.samply|converter.dktk.patient|2.3.0,org.apache.logging.log4j|log4j-core|2.8,"[2.8,2.12.2]",1,success,,,
org.alluxio|alluxio-job-common|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.epam.jdi|jdi-light|1.3.21,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.alluxio|alluxio-job-common|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
org.alluxio|alluxio-logserver|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alluxio|alluxio-logserver|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.airwallex.airskiff|core|0.0.5,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.11.2]",1,failed,Y,,
org.alliancegenome|agr_curation_api|v0.12.0-rc1,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
org.alluxio|alluxio-parent|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
org.alluxio|alluxio-job|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alluxio|alluxio-integration-jnifuse|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|arquillian-utils|5.0.3.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
org.alluxio|alluxio-assembly|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alluxio|alluxio-table-server|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
org.alluxio|alluxio-integration-tools-validation|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
com.github.bld-commons.excel|read-excel|4.0.3,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
group.rxcloud|capa-sdk-spi-demo|1.10.10.RELEASE,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.jboss.resteasy.spring|resteasy-integration-tests-spring|3.0.0.Alpha2,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy.spring|resteasy-integration-tests-spring-web|3.0.0.Alpha2,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
com.hifiveai|hifive-openapi|4.1.2_5_1-RELEASE,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
me.binwang.streamz|streamz-examples_2.12|0.13-RC4,org.apache.logging.log4j|log4j-core|2.13.0,"[2.13.0,2.15.0]",1,success,,,
com.github.furkandogan|web-automation-template|5.3,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.14.1]",1,failed,Y,,
cn.sliew|milky-test|1.0.5,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.openforis.collect|collect-control-panel|4.0.36,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
io.nosqlbench|nb|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-deployment|4.7.5.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
org.alluxio|alluxio-core|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy.spring|resteasy-integration-tests-spring-web-deployment|2.0.1.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
io.tapir-test|tapir-extensions-dependencies|2.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.12.2]",1,success,,,
io.nosqlbench|virtdata-lib-random|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.jboss.resteasy.spring|resteasy-integration-tests-spring-unit|3.0.0.Alpha3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.14.1]",1,failed,Y,,
com.navercorp.pinpoint|pinpoint-agent|2.3.2,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.12.2]",1,success,,,
