project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.biodatageeks|sequila_2.12|0.7.9,io.projectglow|glow-spark3_2.12|1.0.1,No suitable version,4,failed,,Y,
org.dashbuilder|dashbuilder-dataset-cdi|7.65.0.Final,org.kie.soup|kie-soup-dataset-elasticsearch|7.65.0.Final,No suitable version,4,failed,,Y,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance.server.feature|1.5.54,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance|1.5.54,"[1.5.54,1.5.84]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.47,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.2.21,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.61,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.daisy.pipeline.modules|daisy202-to-daisy3|1.0.1,org.daisy.pipeline.modules|file-utils|2.1.2,No suitable version,4,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.12.0,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
it.unibo.alchemist|alchemist-swingui|15.0.2,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.extension.identity.authenticator.outbound.smsotp|org.wso2.carbon.extension.identity.authenticator.smsotp.feature|3.0.25,org.wso2.carbon.extension.identity.authenticator.outbound.smsotp|org.wso2.carbon.extension.identity.authenticator.smsotp.connector|3.0.25,"[3.0.25,3.3.8]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.7.5,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance.server.feature|1.5.56,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance|1.5.56,"[1.5.56,1.5.84]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.43,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.3,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.passive|5.7.1,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.66,"[5.20.66,5.20.72]",4,success,,,
io.imunity|unity-server-storage-api|3.9.0,io.imunity|unity-server-base|3.9.0,"[3.9.0,3.10.0]",4,success,,,
it.unibo.alchemist|alchemist-swingui|24.1.10,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.39,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
us.ihmc|scs2-session-logger|17-0.11.0,us.ihmc|scs2-session|17-0.11.0,"[17-0.11.0,17-0.11.1]",4,success,,,
it.unibo.alchemist|alchemist-swingui|15.0.3,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.daisy.pipeline.modules.braille|html-to-pef|4.2.1,org.daisy.pipeline.modules.braille|pef-utils|4.0.4,"[4.0.4,5.0.2]",4,success,,,
us.ihmc|scs2-simulation-construction-set|0.8.2-bullet-alpha-5,us.ihmc|scs2-session|0.8.2-bullet-alpha-5,"[0.8.2-bullet-alpha-5,17-0.11.1]",4,success,,,
io.testerra|driver-ui-desktop|2.0-RC-19,io.testerra|driver-ui|2.0-RC-19,"[2.0-RC-19,2.0-RC-20]",4,success,,,
us.ihmc|scs2-simulation-construction-set|17-0.8.2,us.ihmc|scs2-simulation|17-0.8.2,"[17-0.8.2,17-0.11.1]",4,success,,,
us.ihmc|scs2-examples|17-0.12.4,us.ihmc|scs2-bullet-simulation|17-0.12.4,"[17-0.12.4,17-0.14.0]",4,success,,,
io.github.alexarchambault.bleep|bloop-shared_2.12|1.4.16-1,ch.epfl.scala|zinc_2.12|1.3.0-M4+47-d881fa2f,No suitable version,4,failed,,Y,
us.ihmc|scs2-session-logger|17-0.13.2,us.ihmc|scs2-session|17-0.13.2,"[17-0.13.2,17-0.14.0]",4,success,,,
io.gitee.cikaros|fly-feel-security-license|2.0.1,io.gitee.cikaros|fly-feel-define|2.0.2,No suitable version,4,failed,,Y,
us.ihmc|scs2-examples|17-0.9.5,us.ihmc|scs2-bullet-simulation|17-0.9.5,"[17-0.9.5,17-0.11.1]",4,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.sts|5.6.17,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.18.8,"[5.18.8,5.18.11]",4,success,,,
org.wso2.carbon.identity.application.auth.basic|org.wso2.carbon.identity.application.authenticator.basicauth.jwt|6.4.2,org.wso2.carbon.identity.application.auth.basic|org.wso2.carbon.identity.application.authenticator.basicauth|6.4.2,"[6.4.2,6.4.7]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.55,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.7,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
us.ihmc|simulation-construction-set-utilities|0.21.16,us.ihmc|ihmc-yovariables|0.9.11,"[0.9.11,0.9.12]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.49,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|2.1.1,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.66,"[5.20.66,5.20.72]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.11.0,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.7.7,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
it.unibo.alchemist|alchemist-swingui|17.0.3,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.5,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.19,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.migration.resources|org.wso2.carbon.is.migration|1.0.213,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.46,"[1.5.46,1.6.1]",4,success,,,
