project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.scalablytyped.converter|importer_2.12|1.0.0-beta37,ch.epfl.scala|bloop-frontend_2.12|1.4.11,"[1.4.11,1.4.12-16-373bc94e]",6,success,,,
org.wso2.carbon.identity.carbon.auth.iwa|org.wso2.carbon.identity.authenticator.iwa|5.5.0,org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.mgt|5.6.0,No suitable version,6,failed,,Y,
org.daisy.pipeline.modules.braille|dtbook-to-pef|9.0.0,org.daisy.pipeline.modules|metadata-utils|2.0.1,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.46,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.46,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.86,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.86,"[1.0.86,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.75,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.75,"[1.0.75,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.82,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.82,"[1.0.82,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.15.5,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.15.5,"[9.15.5,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.5,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.5,"[1.1.5,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.15.5,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.5,"[9.15.5,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.6,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.6,"[1.1.6,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.15.1,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.1,"[9.15.1,9.22.84]",6,success,,,
org.wso2.km.ext.wso2is|distribution|1.6.7,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.7,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.8,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.8,"[1.1.8,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.15.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.15.3,"[9.15.3,9.22.72]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.14.5,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.5,"[9.14.5,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.30,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.30,"[1.1.30,1.1.43]",6,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.mgt.server.feature|5.7.5,org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.mgt|5.7.5,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.89,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.89,"[1.0.89,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.15.2,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.2,"[9.15.2,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.4.3,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.4.3,"[1.1.4.3,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.15.1,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.1,"[9.15.1,9.22.84]",6,success,,,
org.wso2.km.ext.wso2is|distribution|1.6.0,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.0,"[1.6.0,1.6.3]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.71,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.71,"[1.0.71,1.1.43]",6,success,,,
org.wso2.km.ext.wso2is|wso2is.key.manager.notification.feature|1.6.8,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.8,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.core.feature|1.0.66,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.core|1.0.66,"[1.0.66,1.0.82]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.99,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.99,"[1.0.99,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.14.7,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.7,"[9.14.7,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.27,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.27,"[1.1.27,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.42,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.42,"[1.1.42,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.33,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.33,"[1.1.33,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.44,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.44,No suitable version,6,failed,,Y,
